Punto	Aboutilon_grandiflorum	Acer_negundo	Alternanthera_philoxeroides	Artemisa_sp.	Arundo_donax	Baccharis_sp.	Blepharocalyx_salicifolius	Broussonetia_papyrifera	Carduus_pycnocephalus	Carex_divulsa	Celtis_tala	Cissus_sp.	Conyza_bonaeriensis	Dichondra_microcalyx	Dicliptera_tweediana	Dipsacus_fullonum	Eucalyptus_sp.	Eupatorium_inulifolium	Gymnocoronis_spilanthoides	Hedera_helix	Ipomoea_sp.	Lantana_camara	Laurus_nobilis	Ligustrum_lucidum	Ligustrum_sinense	Livistona_chinensis	Ludwigia_bonariensis	Melia_azedarach	Melilotus_sp.	Metastelma_sp.	Morus_sp.	Panicum_sp.	Passiflora_caerulea	Pittosporum_tobira	Polygonum_punctatum	Ricinus_communis	Sagittaria_montevidensis	Salpichroa_origanifolia	Sapium_haematospermum	Solanum_bonariense	Solidago_chilensis	Sorghum_halepense	Vachelia_caven	Verbena_sp.	Zizaniopsis_bonariensis
1	0	0	11	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	1	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5
3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	27.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.7	0	30	0	0	0	0	0	0	0	0
4	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
5	0	35	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	14.3	0	0	0	5.3	43.3	6	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.3	85	58.3	0	0	40	0	0	0	0	1	3.7	0	0	0	0	0	0	0	0	0	0	0
7	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	81.7	0	0	0.83	19	2.7	0	0	21.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	0	0	0	0	0	0	0.70	0	0	0	0	0	0	0	0	0	16.7	0	0	0	0	0	8	28	23.3	0	0	4.7	0	0.73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	0	0	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	30	15	0	0	90	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0
10	5	0	0	0	0	0	0	0	0	15	0	0	0	0	20	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	30	0	0	0	15	0	0	0	0	0	0	0
11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	99	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
12	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	99	1	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	70	3	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	22	0	0	0
15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	10	0	0
16	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	25	0	0	3	0	0	0
17	0	0	0	0	0	15	0	0	12	0	0	0	40	0	0	55	0	30	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	5	5	0	1	0
18	0	0	0	0	0	5	0	0	15	0	0	0	1	0	0	17	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	25	10	0	0	0
19	0	0	0	0	90	4.3	0	0	0	0	0	0	1	0	0	1.3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0
20	0	0	0	1	0	54	0	0	2.3	0	0	0	18.6	0	0	2.6	0	3	0	0	0	0	0	0	0	0	0	0	2.6	0	0	0	0	0	0	0	0	0	0	0	16	0	0	1	0
